age_cat,Female_unadj_excess_deaths_number,Female_unadj_excess_deaths_rate,Male_unadj_excess_deaths_number,Male_unadj_excess_deaths_rate
20-24 years,197.25832761629403,0.5389656760881012,272.77181212119035,0.7447247795707391
25-29 years,413.1370519129569,1.1771327353648506,636.2371678532346,1.9049316999819648
30-34 years,855.1794598170425,2.5431763316935987,1381.654470560805,4.470325262424069
35-39 years,1658.7731798853138,5.022682921164628,2416.371672024922,8.144129705329714
40-44 years,3339.892335088988,10.13132757852036,3902.56299642301,13.302526949915332
45-49 years,6239.882373216285,19.339204049111487,6813.305125790506,23.874068599256596
50-54 years,10522.765481565453,34.38425032777502,11974.65330412289,44.72352388442724
55-59 years,14683.224965351832,54.079222675667054,17799.71747727593,76.94245489350297
60-64 years,18075.11390885542,80.76599510230685,22105.999243077546,120.95176249790262
65-69 years,19757.239587188797,113.00615836450376,21902.015407054125,162.97526008014609
70-74 years,19606.198398162072,149.08281386790762,18278.2876198539,195.2558387002979
75-79 years,17976.69952639509,187.55442373647048,11582.25476642559,189.57626440880642
80-84 years,11343.041566029147,170.61356531602928,2503.619035568292,68.72602624526644
