Gender,Race,Year,yrs_lost
Female,Black,2000,1174.2829135606773
Female,Black,2001,1161.6303699113575
Female,Black,2002,1203.9926491534964
Female,Black,2003,1265.6923357250137
Female,Black,2004,1236.2362582795904
Female,Black,2005,1161.310355655557
Female,Black,2006,1111.702268310835
Female,Black,2007,1086.4055789551778
Female,Black,2008,1160.673780459566
Female,Black,2009,1146.1779604626422
Female,Black,2010,1103.6567290355185
Female,Black,2011,1042.437393986454
Female,Black,2012,1060.7741889451715
Female,Black,2013,1083.6935603153245
Female,Black,2014,1079.3480104701478
Female,Black,2015,1100.8838641373277
Female,Black,2016,1108.2670545723322
Female,Black,2017,1122.4488817766426
Female,Black,2018,1130.7297591593951
Female,Black,2019,1158.2960728212988
Female,Black,2020,1362.5676723971965
Female,Black,2021,1333.1336823000318
Female,Black,2022,1257.7487462725794
Female,White,2000,264.2326353887301
Female,White,2001,277.6827021726889
Female,White,2002,287.34867510629005
Female,White,2003,307.8589426273138
Female,White,2004,309.6086162137529
Female,White,2005,301.0824206787388
Female,White,2006,296.7657500051548
Female,White,2007,296.6618374526122
Female,White,2008,308.9886362119732
Female,White,2009,315.9373149889863
Female,White,2010,316.4293778973161
Female,White,2011,320.071095468596
Female,White,2012,322.5821106931858
Female,White,2013,342.8775858571025
Female,White,2014,349.9245157898041
Female,White,2015,371.45022950246323
Female,White,2016,389.4139271187624
Female,White,2017,407.93910008072834
Female,White,2018,419.55779267733374
Female,White,2019,445.14624844049104
Female,White,2020,492.5012578968807
Female,White,2021,527.1894016421933
Female,White,2022,555.2189941820264
Male,Black,2000,1332.0499516026016
Male,Black,2001,1357.1772962861155
Male,Black,2002,1434.1323260129873
Male,Black,2003,1485.4851435780058
Male,Black,2004,1532.5535982316042
Male,Black,2005,1497.4464874617565
Male,Black,2006,1513.4653519484698
Male,Black,2007,1466.8978020332354
Male,Black,2008,1506.972011484243
Male,Black,2009,1530.8518002341264
Male,Black,2010,1509.616005804929
Male,Black,2011,1464.2804020927488
Male,Black,2012,1528.8754055954087
Male,Black,2013,1570.3536061500151
Male,Black,2014,1546.8957863075632
Male,Black,2015,1570.0561030741324
Male,Black,2016,1665.0894422513873
Male,Black,2017,1620.8523216207464
Male,Black,2018,1715.5555707416063
Male,Black,2019,1740.4944120084747
Male,Black,2020,2060.980021102591
Male,Black,2021,1964.5731887709935
Male,Black,2022,1861.7386130364184
Male,White,2000,297.5813532284544
Male,White,2001,307.24626066739063
Male,White,2002,331.27914440431556
Male,White,2003,358.38572513094397
Male,White,2004,374.03564124333883
Male,White,2005,367.8579952897283
Male,White,2006,375.68601763282686
Male,White,2007,378.02330272865083
Male,White,2008,404.51388218983317
Male,White,2009,417.7877101605866
Male,White,2010,419.7802556872217
Male,White,2011,434.35870453032896
Male,White,2012,444.3959324453538
Male,White,2013,472.1957654553839
Male,White,2014,494.10910852624727
Male,White,2015,515.1272855978842
Male,White,2016,545.6148773792548
Male,White,2017,573.8406639580438
Male,White,2018,602.9475743254574
Male,White,2019,641.8401775553618
Male,White,2020,708.1208301818946
Male,White,2021,732.5225865059145
Male,White,2022,755.8068595060458
