age_cat,white_death_rate_Female,black_death_rate_Female,white_death_rate_Male,black_death_rate_Male
20-24 years,0.09015322100705776,0.510937016684662,0.2714191684489232,1.1794514333160684
25-29 years,0.26509465204551286,1.8178245734323628,0.7373195902547465,3.233583858236809
30-34 years,0.633099026935971,4.487541229470912,1.7353559812859045,7.833114350171661
35-39 years,1.3583634160180293,7.803028192640627,3.4190765332327255,15.213968080933187
40-44 years,2.6761697379277294,14.527093362798853,6.398277955021586,25.922891583513724
45-49 years,4.565974858707821,23.083510736683838,10.891443095022645,40.688869712466136
50-54 years,7.269971325377431,34.51245327078526,17.02613704235678,60.795874694764784
55-59 years,11.034957818171206,46.39184446401214,24.598174286880898,86.95932208298635
60-64 years,16.18623124925151,64.16555356262033,33.525238608839786,119.83012038218921
65-69 years,23.86257429981436,85.09248524165591,41.80942682667804,148.11525293925624
70-74 years,39.33279810399812,120.56682528067944,55.49198281799846,186.32228627978105
75-79 years,70.25145784077624,185.1892232183258,84.45717262855935,250.85321355144217
80-84 years,143.6206658572007,305.0667064557963,150.3788369588441,367.09784353006864
