age_cat,white_death_rate_Female,black_death_rate_Female,white_death_rate_Male,black_death_rate_Male
20-24 years,0.3932668065977165,0.8606693061800454,0.5086545625340022,0.8490958235215214
25-29 years,0.7145408410930266,1.6183767362219155,0.8120290563127558,1.766494885518257
30-34 years,1.352305167903367,3.390190193238462,1.5045758128481224,3.924645892919547
35-39 years,2.502570437618802,6.658462939703817,2.7148327818907645,8.203544153520465
40-44 years,4.576090002171512,13.55942938645038,5.0672167416912375,15.884375381876916
45-49 years,7.5527494873618295,22.69609950654347,8.870112049381458,28.38970223995872
50-54 years,11.418682765254701,33.57791799001982,14.746684808559753,46.89103125646712
55-59 years,17.44657122139812,45.0401608407752,23.59826385091636,72.05904951649761
60-64 years,28.186450011782313,68.04855259088754,39.101058941630086,109.79548996435736
65-69 years,49.33077696867515,103.82461464720967,65.02757073807174,162.48403231256464
70-74 years,98.02479805611772,173.99915886085947,118.85195864155972,248.32289111683235
75-79 years,206.15821584803422,303.86682401316835,230.01708233820207,383.3834543269888
80-84 years,429.18953865321487,517.3439191670996,438.16137063754803,584.2052124434997
