Gender,Race,Year,yrs_lost
Female,Black,2000,2070.219383274251
Female,Black,2001,2049.4697277004207
Female,Black,2002,2004.3752551854207
Female,Black,2003,1954.1100502500506
Female,Black,2004,1905.8855512196737
Female,Black,2005,1706.1822539728453
Female,Black,2006,1644.7658224354611
Female,Black,2007,1578.824956647801
Female,Black,2008,1560.460523934075
Female,Black,2009,1468.5537730611525
Female,Black,2010,1435.4225168829971
Female,Black,2011,1365.6488818038736
Female,Black,2012,1315.0346387555255
Female,Black,2013,1314.0480047551864
Female,Black,2014,1318.544424417487
Female,Black,2015,1347.1622855256398
Female,Black,2016,1338.5011127556088
Female,Black,2017,1349.688490767104
Female,Black,2018,1318.0028053451808
Female,Black,2019,1339.3721635736567
Female,Black,2020,1365.7988825104271
Female,Black,2021,1432.2584695710761
Female,Black,2022,1374.1582688667515
Female,White,2000,1211.8932835636083
Female,White,2001,1168.59521619386
Female,White,2002,1154.487275467007
Female,White,2003,1090.9699485427393
Female,White,2004,1067.4556245952226
Female,White,2005,960.2174972197623
Female,White,2006,926.4297723066728
Female,White,2007,893.3781410814238
Female,White,2008,877.4613948772474
Female,White,2009,852.6188946719376
Female,White,2010,832.4470649559876
Female,White,2011,820.2204669241568
Female,White,2012,794.5170117654812
Female,White,2013,769.7342793871784
Female,White,2014,785.2601066319432
Female,White,2015,792.6895351760608
Female,White,2016,787.017598096482
Female,White,2017,780.6491087002504
Female,White,2018,771.3511334947965
Female,White,2019,768.480671857629
Female,White,2020,766.3322042111856
Female,White,2021,807.4118465710951
Female,White,2022,793.7736783182352
Male,Black,2000,2301.8626525306277
Male,Black,2001,2230.118724746404
Male,Black,2002,2164.6191224765244
Male,Black,2003,2151.4595106127736
Male,Black,2004,2093.108434964003
Male,Black,2005,1925.5890481255192
Male,Black,2006,1884.0098964638055
Male,Black,2007,1893.6408008694023
Male,Black,2008,1750.7652704684365
Male,Black,2009,1678.0951625716862
Male,Black,2010,1651.0081323169109
Male,Black,2011,1601.8269975612993
Male,Black,2012,1571.1160699075058
Male,Black,2013,1573.9447641466934
Male,Black,2014,1612.020044280938
Male,Black,2015,1632.737567708217
Male,Black,2016,1611.196863300491
Male,Black,2017,1614.352277394626
Male,Black,2018,1629.7628703604362
Male,Black,2019,1614.30528058747
Male,Black,2020,1728.1371396730433
Male,Black,2021,1679.6691041621013
Male,Black,2022,1606.0749723483448
Male,White,2000,1202.559015428468
Male,White,2001,1147.4338511738617
Male,White,2002,1105.6674469023255
Male,White,2003,1077.4536908015334
Male,White,2004,1037.648057300274
Male,White,2005,936.5397392240973
Male,White,2006,896.4165884213014
Male,White,2007,872.4247231592627
Male,White,2008,856.8655741389614
Male,White,2009,839.9669864290213
Male,White,2010,819.2493975021895
Male,White,2011,806.4128854594326
Male,White,2012,788.9485694744491
Male,White,2013,787.8033539321301
Male,White,2014,788.8914188534206
Male,White,2015,794.2483143986692
Male,White,2016,809.9807327242175
Male,White,2017,796.031506358255
Male,White,2018,788.123945262155
Male,White,2019,796.4669857850854
Male,White,2020,813.8404581755847
Male,White,2021,807.7991361054891
Male,White,2022,796.5665050209659
