Year,Overall CVD,Ischemic Heart Disease,Hypertension,Cerebrovascular Disease,Heart Failure
2000,197.44,70.49,42.78,45.82,6.29
2001,202.29,74.39,42.99,44.49,7.63
2002,195.5,69.23,44.83,43.34,7.98
2003,203.44,75.7,45.4,43.53,7.41
2004,190.76,64.82,45.71,41.92,7.63
2005,190.75,65.46,45.77,39.88,9.2
2006,188.42,67.06,45.36,39.33,7.9
2007,180.48,59.33,42.9,40.69,8.6
2008,169.41,54.7,43.2,35.32,9.36
2009,159.99,51.56,42.85,32.49,7.74
2010,155.03,47.6,42.03,32.14,8.24
2011,143.98,44.21,39.38,30.65,7.59
2012,147.77,44.29,41.46,30.24,8.44
2013,147.58,41.53,42.02,30.29,9.37
2014,144.75,39.2,40.12,31.54,9.43
2015,147.24,39.24,40.24,32.36,10.96
2016,148.58,40.42,42.73,30.77,10.13
2017,148.38,40.26,39.53,31.55,11.84
2018,157.5,42.37,42.13,32.39,12.65
2019,152.18,38.65,41.42,31.47,13.53
2020,189.29,54.69,52.75,36.15,15.34
2021,172.05,47.16,49.31,35.5,13
2022,161.79,44.64,44.37,32.93,14.09
